2018-08-14 02:18:04.417        --- [http-nio-8080-exec-1] Processing file FakeSpreadsheetUserUpload.zip
2018-08-14 02:18:04.418        --- [http-nio-8080-exec-1] Starting unzip thread with name = Thread-27
2018-08-14 02:18:04.438        --- [http-nio-8080-exec-2] Processing file FakeSpreadsheetUserUpload.zip
2018-08-14 02:18:04.438        --- [http-nio-8080-exec-2] Starting unzip thread with name = Thread-28
2018-08-14 02:18:04.697        --- [           Thread-28] Starting row parsing thread with name = Thread-29
2018-08-14 02:18:04.697        --- [           Thread-27] Starting row parsing thread with name = Thread-30
2018-08-14 02:18:04.709        --- [           Thread-30] Starting user insert thread with name = Thread-32
2018-08-14 02:18:04.710        --- [           Thread-29] Starting user insert thread with name = Thread-31
2018-08-14 02:18:04.710        --- [           Thread-30] Starting user insert thread with name = Thread-33
2018-08-14 02:18:04.710        --- [           Thread-32] Validating input.
2018-08-14 02:18:04.711        --- [           Thread-30] Starting user insert thread with name = Thread-35
2018-08-14 02:18:04.711        --- [           Thread-29] Starting user insert thread with name = Thread-34
2018-08-14 02:18:04.711        --- [           Thread-31] Validating input.
2018-08-14 02:18:04.711        --- [           Thread-33] Validating input.
2018-08-14 02:18:04.712        --- [           Thread-35] Validating input.
2018-08-14 02:18:04.713        --- [           Thread-29] Starting user insert thread with name = Thread-37
2018-08-14 02:18:04.713        --- [           Thread-34] Validating input.
2018-08-14 02:18:04.713        --- [           Thread-30] Starting user insert thread with name = Thread-36
2018-08-14 02:18:04.714        --- [           Thread-29] Starting user insert thread with name = Thread-38
2018-08-14 02:18:04.714        --- [           Thread-37] Validating input.
2018-08-14 02:18:04.714        --- [           Thread-29] Starting user insert thread with name = Thread-39
2018-08-14 02:18:04.715        --- [           Thread-38] Validating input.
2018-08-14 02:18:04.715        --- [           Thread-29] Starting user insert thread with name = Thread-40
2018-08-14 02:18:04.715        --- [           Thread-39] Validating input.
2018-08-14 02:18:04.715        --- [           Thread-29] Starting user insert thread with name = Thread-41
2018-08-14 02:18:04.716        --- [           Thread-40] Validating input.
2018-08-14 02:18:04.716        --- [           Thread-41] Validating input.
2018-08-14 02:18:04.716        --- [           Thread-29] Starting user insert thread with name = Thread-42
2018-08-14 02:18:04.717        --- [           Thread-29] Starting user insert thread with name = Thread-43
2018-08-14 02:18:04.717        --- [           Thread-42] Validating input.
2018-08-14 02:18:04.717        --- [           Thread-29] Starting user insert thread with name = Thread-44
2018-08-14 02:18:04.718        --- [           Thread-43] Validating input.
2018-08-14 02:18:04.718        --- [           Thread-29] Starting user insert thread with name = Thread-45
2018-08-14 02:18:04.718        --- [           Thread-44] Validating input.
2018-08-14 02:18:04.719        --- [           Thread-29] Starting user insert thread with name = Thread-46
2018-08-14 02:18:04.719        --- [           Thread-45] Validating input.
2018-08-14 02:18:04.719        --- [           Thread-29] Starting user insert thread with name = Thread-47
2018-08-14 02:18:04.719        --- [           Thread-46] Validating input.
2018-08-14 02:18:04.720        --- [           Thread-29] Starting user insert thread with name = Thread-48
2018-08-14 02:18:04.720        --- [           Thread-47] Validating input.
2018-08-14 02:18:04.721        --- [           Thread-48] Validating input.
2018-08-14 02:18:04.721        --- [           Thread-29] Starting user insert thread with name = Thread-49
2018-08-14 02:18:04.722        --- [           Thread-29] Starting user insert thread with name = Thread-50
2018-08-14 02:18:04.722        --- [           Thread-49] Validating input.
2018-08-14 02:18:04.722        --- [           Thread-29] Starting user insert thread with name = Thread-51
2018-08-14 02:18:04.723        --- [           Thread-50] Validating input.
2018-08-14 02:18:04.723        --- [           Thread-29] Starting user insert thread with name = Thread-52
2018-08-14 02:18:04.723        --- [           Thread-51] Validating input.
2018-08-14 02:18:04.723        --- [           Thread-29] Starting user insert thread with name = Thread-53
2018-08-14 02:18:04.724        --- [           Thread-52] Validating input.
2018-08-14 02:18:04.724        --- [           Thread-53] Validating input.
2018-08-14 02:18:04.724        --- [           Thread-29] Starting user insert thread with name = Thread-54
2018-08-14 02:18:04.724        --- [           Thread-54] Validating input.
2018-08-14 02:18:04.725        --- [           Thread-29] Starting user insert thread with name = Thread-55
2018-08-14 02:18:04.725        --- [           Thread-55] Validating input.
2018-08-14 02:18:04.725        --- [           Thread-29] Starting user insert thread with name = Thread-56
2018-08-14 02:18:04.726        --- [           Thread-56] Validating input.
2018-08-14 02:18:04.726        --- [           Thread-29] Starting user insert thread with name = Thread-57
2018-08-14 02:18:04.726        --- [           Thread-29] Starting user insert thread with name = Thread-58
2018-08-14 02:18:04.726        --- [           Thread-57] Validating input.
2018-08-14 02:18:04.727        --- [           Thread-58] Validating input.
2018-08-14 02:18:04.727        --- [           Thread-29] Starting user insert thread with name = Thread-59
2018-08-14 02:18:04.727        --- [           Thread-29] Starting user insert thread with name = Thread-60
2018-08-14 02:18:04.727        --- [           Thread-59] Validating input.
2018-08-14 02:18:04.728        --- [           Thread-60] Validating input.
2018-08-14 02:18:04.728        --- [           Thread-29] Starting user insert thread with name = Thread-61
2018-08-14 02:18:04.728        --- [           Thread-61] Validating input.
2018-08-14 02:18:04.728        --- [           Thread-29] Starting user insert thread with name = Thread-62
2018-08-14 02:18:04.729        --- [           Thread-29] Starting user insert thread with name = Thread-63
2018-08-14 02:18:04.729        --- [           Thread-62] Validating input.
2018-08-14 02:18:04.729        --- [           Thread-29] Starting user insert thread with name = Thread-64
2018-08-14 02:18:04.729        --- [           Thread-63] Validating input.
2018-08-14 02:18:04.730        --- [           Thread-29] Starting user insert thread with name = Thread-65
2018-08-14 02:18:04.730        --- [           Thread-64] Validating input.
2018-08-14 02:18:04.731        --- [           Thread-29] Starting user insert thread with name = Thread-66
2018-08-14 02:18:04.731        --- [           Thread-65] Validating input.
2018-08-14 02:18:04.731        --- [           Thread-29] Starting user insert thread with name = Thread-67
2018-08-14 02:18:04.732        --- [           Thread-66] Validating input.
2018-08-14 02:18:04.732        --- [           Thread-29] Starting user insert thread with name = Thread-68
2018-08-14 02:18:04.733        --- [           Thread-67] Validating input.
2018-08-14 02:18:04.734        --- [           Thread-29] Starting user insert thread with name = Thread-69
2018-08-14 02:18:04.734        --- [           Thread-68] Validating input.
2018-08-14 02:18:04.735        --- [           Thread-29] Starting user insert thread with name = Thread-70
2018-08-14 02:18:04.735        --- [           Thread-69] Validating input.
2018-08-14 02:18:04.736        --- [           Thread-29] Starting user insert thread with name = Thread-71
2018-08-14 02:18:04.736        --- [           Thread-70] Validating input.
2018-08-14 02:18:04.736        --- [           Thread-29] Starting user insert thread with name = Thread-72
2018-08-14 02:18:04.736        --- [           Thread-71] Validating input.
2018-08-14 02:18:04.737        --- [           Thread-72] Validating input.
2018-08-14 02:18:04.737        --- [           Thread-29] Starting user insert thread with name = Thread-73
2018-08-14 02:18:04.738        --- [           Thread-29] Starting user insert thread with name = Thread-75
2018-08-14 02:18:04.738        --- [           Thread-73] Validating input.
2018-08-14 02:18:04.740        --- [           Thread-29] Starting user insert thread with name = Thread-76
2018-08-14 02:18:04.740        --- [           Thread-75] Validating input.
2018-08-14 02:18:04.741        --- [           Thread-29] Starting user insert thread with name = Thread-77
2018-08-14 02:18:04.741        --- [           Thread-76] Validating input.
2018-08-14 02:18:04.741        --- [           Thread-29] Starting user insert thread with name = Thread-78
2018-08-14 02:18:04.742        --- [           Thread-77] Validating input.
2018-08-14 02:18:04.742        --- [           Thread-78] Validating input.
2018-08-14 02:18:04.742        --- [           Thread-29] Starting user insert thread with name = Thread-79
2018-08-14 02:18:04.743        --- [           Thread-29] Starting user insert thread with name = Thread-80
2018-08-14 02:18:04.743        --- [           Thread-79] Validating input.
2018-08-14 02:18:04.743        --- [           Thread-29] Starting user insert thread with name = Thread-81
2018-08-14 02:18:04.744        --- [           Thread-80] Validating input.
2018-08-14 02:18:04.744        --- [           Thread-29] Starting user insert thread with name = Thread-82
2018-08-14 02:18:04.745        --- [           Thread-81] Validating input.
2018-08-14 02:18:04.745        --- [           Thread-29] Starting user insert thread with name = Thread-83
2018-08-14 02:18:04.746        --- [           Thread-82] Validating input.
2018-08-14 02:18:04.749        --- [           Thread-29] Starting user insert thread with name = Thread-84
2018-08-14 02:18:04.750        --- [           Thread-83] Validating input.
2018-08-14 02:18:04.752        --- [           Thread-29] Starting user insert thread with name = Thread-85
2018-08-14 02:18:04.753        --- [           Thread-84] Validating input.
2018-08-14 02:18:04.756        --- [           Thread-29] Starting user insert thread with name = Thread-86
2018-08-14 02:18:04.757        --- [           Thread-85] Validating input.
2018-08-14 02:18:04.758        --- [           Thread-29] Starting user insert thread with name = Thread-87
2018-08-14 02:18:04.758        --- [           Thread-86] Validating input.
2018-08-14 02:18:04.759        --- [           Thread-29] Starting user insert thread with name = Thread-88
2018-08-14 02:18:04.760        --- [           Thread-87] Validating input.
2018-08-14 02:18:04.761        --- [           Thread-29] Starting user insert thread with name = Thread-89
2018-08-14 02:18:04.764        --- [           Thread-88] Validating input.
2018-08-14 02:18:04.766        --- [           Thread-29] Starting user insert thread with name = Thread-90
2018-08-14 02:18:04.766        --- [           Thread-89] Validating input.
2018-08-14 02:18:04.767        --- [           Thread-29] Starting user insert thread with name = Thread-91
2018-08-14 02:18:04.768        --- [           Thread-90] Validating input.
2018-08-14 02:18:04.769        --- [           Thread-45] Inserted new user with id=5b72741c3af6b069b215a574
2018-08-14 02:18:04.770        --- [           Thread-82] Inserted new user with id=5b72741c3af6b069b215a57e
2018-08-14 02:18:04.771        --- [           Thread-40] Inserted new user with id=5b72741c3af6b069b215a581
2018-08-14 02:18:04.771        --- [           Thread-34] Inserted new user with id=5b72741c3af6b069b215a568
2018-08-14 02:18:04.772        --- [           Thread-90] Inserted new user with id=5b72741c3af6b069b215a590
2018-08-14 02:18:04.772        --- [           Thread-91] Validating input.
2018-08-14 02:18:04.773        --- [           Thread-44] Inserted new user with id=5b72741c3af6b069b215a57f
2018-08-14 02:18:04.774        --- [           Thread-55] Inserted new user with id=5b72741c3af6b069b215a582
2018-08-14 02:18:04.774        --- [           Thread-91] Inserted new user with id=5b72741c3af6b069b215a591
2018-08-14 02:18:04.775        --- [           Thread-80] Inserted new user with id=5b72741c3af6b069b215a569
